YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,5,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.88,-10.4,-3.26,2.26,36.12,0.0,80.88,1.29,29.36
2014,1,5,7,40.27,0.46,37.85,0.14,86.44,13.95,14.45,1.55,0.01,0.02,4.44,-10.32,-2.94,2.26,34.75,0.0,80.91,1.41,34.13
2014,1,5,8,215.3,0.61,229.3,0.14,75.45,89.9,97.05,9.8,0.08,0.38,7.18,-4.52,1.33,3.78,48.25,0.0,80.98,0.84,27.04
2014,1,5,9,390.21,0.66,422.1,0.1,65.39,166.02,181.35,19.86,0.3,1.48,9.76,-4.62,2.57,3.48,37.5,0.0,81.06,0.68,249.06
2014,1,5,10,530.66,0.7,573.77,0.1,57.23,226.17,246.9,28.44,0.58,2.88,10.7,-3.76,3.48,3.72,37.31,0.0,81.09,2.34,236.15
2014,1,5,11,637.28,0.73,660.27,0.1,51.91,273.92,285.75,34.83,0.81,4.08,10.94,-2.99,3.98,3.91,38.75,0.0,81.05,2.68,230.56
2014,1,5,12,633.91,0.7,644.2,0.08,50.31,266.7,272.38,32.91,0.79,3.95,11.2,-2.42,4.4,4.03,39.44,0.0,80.95,2.47,227.57
2014,1,5,13,593.66,0.7,603.35,0.07,52.8,247.73,253.75,30.44,0.69,3.4,11.72,-1.92,4.9,4.21,39.44,0.0,80.87,2.31,233.67
2014,1,5,14,462.84,0.63,495.35,0.06,58.84,191.3,207.0,23.16,0.45,2.17,11.8,-1.87,4.97,4.21,39.5,0.0,80.8,2.74,233.46
2014,1,5,15,313.12,0.58,333.6,0.03,67.48,127.3,136.95,14.81,0.2,1.0,11.04,-1.88,4.58,4.27,41.75,0.0,80.77,2.98,233.22
2014,1,5,16,132.48,0.45,139.3,0.14,77.86,50.92,54.08,6.16,0.04,0.17,9.22,-0.06,4.58,5.0,55.5,0.0,80.75,2.15,230.89
2014,1,5,17,14.95,0.34,12.17,0.12,88.17,4.62,4.77,0.59,0.0,0.0,6.27,-0.42,2.92,4.76,64.31,0.0,80.74,1.25,240.7
2014,1,5,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.1,-1.27,1.92,4.39,65.0,0.0,80.78,0.78,303.53
2014,1,5,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.35,-1.6,1.37,4.33,66.94,0.0,80.82,1.01,348.86
2014,1,5,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.93,-2.14,0.89,4.15,66.38,0.0,80.84,1.14,3.95
2014,1,5,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.59,-2.85,0.37,3.97,64.75,0.0,80.85,1.09,18.31
2014,1,5,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.23,-3.49,-0.13,3.78,63.5,0.0,80.84,1.12,25.67
